Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
983	67749	GATA2	LNCaP	Epithelium	Prostate	0.6710336878802214	0.012421266457126877	0.944718179740905	0.04904173423362557
984	38759	ETV5	LoVo	None	Colon	0.0965684781204027	0.019818988378860914	0.4830389185343623	0.049115746993436515
985	54240	PGR	None	Stromal Cell	Endometrium	0.10166430547187277	0.02032305737268471	0.349193662982022	0.049393377100436175
986	67740	GATA2	LNCaP	Epithelium	Prostate	0.6376196370651728	0.009749775245846833	0.9755685461395044	0.04940498214382261
987	69801	NR1H3	HT29	colorectal adenocarcinoma	None	0.2159082177847843	0.016584048946481755	0.7863701178582883	0.04944336371173491
988	37109	HSF1	NCI-H441	Epithelium	Lung	0.019533966488426924	0.10578437335178065	0.5157223304618269	0.04953310993430432
989	63109	NR3C1	A549	Epithelium	Lung	0.0358791536374443	0.03536323060034206	0.21637543249116586	0.049756678882334426
990	36300	BRD4	None	T Lymphocyte	Blood	0.04954071240142131	0.024110653910569053	0.6593550654061382	0.049840388585078776
991	56111	AR	None	None	Prostate	0.15579527306187763	0.017237094809516195	0.7940612608263526	0.049842516054562136
992	74052	NKX2-1	A549	Epithelium	Lung	0.02273473744847066	0.0661507399084155	0.4153493037911894	0.049868518581922205
993	36573	CTCF	None	Epithelium	Mammary Gland	0.886791666901847	0.006670549891470484	0.9877845168472521	0.04991398783373591
994	45561	CTCF	AG04449	Fibroblast	Skin	0.7571959989027328	0.015915637079425424	0.5098509133449894	0.05009189915250423
995	62980	ZBED1	GM12878	B Lymphocyte	Blood	0.017927988237541347	0.09053579609296875	0.8671287231145419	0.050102608465231735
996	45759	SMC3	HeLa-S3	Epithelium	Cervix	0.30565808884055323	0.017229230396608664	0.607551840539197	0.050355459267553304
997	52574	CHRM2	None	Stromal Cell	Endometrium	0.06117775006840449	0.025655008626946897	0.21420002544708927	0.05043830601079646
998	52573	CHRM2	None	Stromal Cell	Endometrium	0.023626261793312595	0.051240792638005656	0.7377562297882434	0.05068662410762009
999	45526	CTCF	None	Osteoblast	Bone	0.7524949897212969	0.015761186097926212	0.6541023490861627	0.050800888083260054
1000	74651	BATF3	GM12878	B Lymphocyte	Blood	0.03340867180901402	0.04450731638437767	0.14837201280973888	0.05094065752250082
1001	62568	ZNF592	MCF-7	Epithelium	Breast	0.029216110640321546	0.05742227129080722	0.13959540363550732	0.05122790934237931
1002	58362	CTCF	PANC-1	None	Pancreas	0.8332294832568339	0.01454509354753947	0.830453327944476	0.05133067046157974
1003	46149	CEBPB	GM12878	B Lymphocyte	Blood	0.05730055840777773	0.02388743528240937	0.6159343305356881	0.05140691734819175
1004	68016	KDM2B	HPB-ALL	Leukemia Cell	None	0.09391461502231085	0.09391461502231085	0.026997083216443524	0.051602462866158605
1005	70543	VDR	THP-1	Macrophage	None	0.09391461502231085	0.09391461502231085	0.026997083216443524	0.051602462866158605
1006	72801	LMNA	None	Fibroblast	None	0.09391461502231085	0.09391461502231085	0.026997083216443524	0.051602462866158605
1007	5883	RXRA	THP-1	Monocyte	Blood	0.13562807515102349	0.02954049605748152	0.05850214105774842	0.05164655611786573
1008	72220	TP63	JHU-029	None	None	0.0667039540143415	0.022502968191000162	0.6562971323037405	0.051752766422555885
1009	42518	STAG1	GM2255	Lymphoblastoid	Blood	0.2351462711422843	0.016953809870297726	0.8197372000409373	0.05177063430852524
1010	71109	AR	VCaP	Epithelium	Prostate	0.29308773527821685	0.012684973644468297	0.9581278209696826	0.05177083456352222
1011	68002	GRHL2	OVCA429	None	None	0.07981174807485208	0.019370768071513014	0.8562663720628634	0.0518484140132191
1012	58806	MYB	None	Th2	None	0.021834509359402666	0.07633877655037546	0.6326506606210041	0.05199485484479888
1013	54661	TCF4	HCT-116	None	Colon	0.09602548508236386	0.02247879363943502	0.2769391480391764	0.05201740273944394
1014	51055	FOXA1	VCaP	Epithelium	Prostate	0.03056164739225734	0.04150073979588413	0.4693079215686106	0.052264775805395514
1015	52628	FOXA1	MCF-7	Epithelium	Breast	0.15530193855304075	0.018680538140027094	0.7237599771694478	0.05240531011251409
1016	73404	NOTCH1	None	Neurosphere	None	0.09703121880427301	0.23471348963477184	0.023066417805751062	0.05241187256357538
1017	1144	ELL2	HCT-116	None	Colon	0.09552934960902948	0.024083138677091817	0.18959123968406022	0.05286013129827288
1018	52636	ESR1	MCF-7	Epithelium	Breast	0.6271070135541452	0.012220030812870698	0.9592964628082425	0.053043286887230645
1019	63542	HES2	A549	Epithelium	Lung	0.03411524829167928	0.039523076714795546	0.3459786643378535	0.05305300153162984
1020	50122	LMNB1	IMR90	Fibroblast	Lung	0.14061520720727794	0.01894929329932987	0.763770351558521	0.053142010065087175
1021	70967	MED12	None	Progenitor Cells	None	0.028446933026410163	0.060640934385977036	0.19577142919495855	0.05326343053534316
1022	36765	NOTCH1	HPB-ALL	T Lymphocyte	Blood	0.020315289372072637	0.09062658252607508	0.7926533858833122	0.053287860359576444
1023	36250	GATA2	None	Haematopoietic Progenitor Cell	Blood	0.2298462984845866	0.019846633035878816	0.34292652574773363	0.0534698545618108
1024	64671	CEBPB	A549	Epithelium	Lung	0.3252767447293573	0.016760360864297177	0.8471817273807679	0.05354536893403933
1025	55774	CTCF	Delta47	None	None	0.8372584686944251	0.015155002824858594	0.8204197821395462	0.05366625272660458
1026	43763	BRD4	DND-41	T Lymphocyte	Blood	0.022208912311098786	0.07902036985272126	0.6823829665547748	0.05371331014119235
1027	45843	CTCF	None	Fibroblast	Lung	0.7520860730508869	0.014118499717637371	0.9205719073917166	0.05376001480421505
1028	33446	CDK9	P493-6	B cell lymphoma	None	0.1500779235190931	0.021859944002914498	0.261353313876977	0.05425207081005434
1029	63444	NR3C1	A549	Epithelium	Lung	0.03110416478824016	0.04576355792693919	0.4093865964971561	0.05434290435786998
1030	48632	IRF4	H929	B Lymphocyte	Bone Marrow	0.09564394821579103	0.02356051120704599	0.3476849220567493	0.05486723279871503
1031	33866	POU5F1	NCCIT	None	Embryo	0.5426428441290188	0.018503174732504755	0.4493656022512069	0.054937229758492356
1032	63080	FOSL2	A549	Epithelium	Lung	0.06128108091183257	0.02730179336345531	0.37113188329783897	0.05500138429053669
1033	38340	BRD4	None	T Lymphocyte	Blood	0.015200528680594105	0.2105680544765498	0.9375275434082632	0.055030110647631914
1034	75045	FOSL1	MDA-MB-231	None	Breast	0.06570953443468805	0.024692165922583793	0.6393710497203946	0.05505314392759175
1035	53418	RUNX1	Kasumi-1	Myeloblast	Blood	0.02213366466834492	0.08502486001356119	0.7502534987986007	0.055565497272732634
1036	62938	CEBPB	A549	Epithelium	Lung	0.13835675174646656	0.022538629644807295	0.29462314072220697	0.05558123284909994
1037	64575	MAFG	K562	Erythroblast	Bone Marrow	0.5678618452695776	0.01755477608978742	0.7334525741701127	0.055611339272331306
1038	67519	GATA3	MDA-MB-231	Epithelium	Mammary Gland	0.14546611057997683	0.02454086779293574	0.15163809931845834	0.05586875079954029
1039	45743	JUND	HeLa-S3	Epithelium	Cervix	0.06246642460955444	0.025762892823936692	0.6567401447680284	0.05617615913874835
1040	45725	TRIM28	HEK293	Epithelium	Embryonic Kidney	0.16835476414761052	0.01977892973546438	0.7516228861890295	0.05633537529385829
1041	73954	ZNF33A	293T	None	None	0.06389356529436073	0.027269683442823524	0.4403698705814517	0.05641774326752602
1042	45633	MXI1	GM12878	B Lymphocyte	Blood	0.03870409757122475	0.0355897736972423	0.6062190256227729	0.05643398080099371
1043	68862	NR3C1	ZR-75-1	Embryonic Stem Cell	Breast	0.15561545639466445	0.019440161760599105	0.8155001980630392	0.05655886601765253
1044	64931	NR3C1	A549	Epithelium	Lung	0.035355014665403035	0.04347091570882128	0.37152521206467404	0.056677518500985624
1045	71255	BRD4	None	Osteoblast	None	0.043654922001575294	0.03893201935941769	0.21012816417005947	0.05668070116870805
1046	45770	TFAP2C	HeLa-S3	Epithelium	Cervix	0.03490169501415438	0.03490169501415438	0.814837620399929	0.05675581262951507
1047	34329	EZH2	LNCaP	Epithelium	Prostate	0.027118366243400648	0.07081785566747602	0.3651001321656909	0.05697580969354965
1048	43742	BRD4	KOPT-K1	T Lymphocyte	Blood	0.022014360856031073	0.1432801069055309	0.48583990528616705	0.057079442861600715
1049	45741	USF2	HeLa-S3	Epithelium	Cervix	0.02498547237357483	0.07614885406719935	0.6151113143976679	0.05746929447653998
1050	63232	CEBPB	A549	Epithelium	Lung	0.08963971802123871	0.025548113178083313	0.34414265173423547	0.05751514863016138
1051	65209	ZNF680	HEK293	Epithelium	Embryonic Kidney	0.19463382661462292	0.019809764218567453	0.7741304355554641	0.05790315618915315
1052	71026	TP63	HaCaT	Keratinocyte	None	0.12393918673199028	0.024371296932449698	0.27817322799859634	0.05790340282877926
1053	55715	SUMO2	VCaP	Epithelium	Prostate	0.37604987314102695	0.008502776804531268	0.9852468901575194	0.05801594625754619
1054	67713	FOXA1	LNCaP	Epithelium	Prostate	0.30896867417737706	0.018647920841152858	0.8151796369449149	0.05825067504214276
1055	46337	REST	PFSK-1	Neuron	Brain	0.017983196633705584	0.1978150128355874	0.8940769914686553	0.05834001997952615
1056	37597	HDAC1	ME-1	Leukemia Cell	None	0.01912917205005609	0.31631751382628576	0.7729432644002033	0.05858543567767005
1057	52625	FOXA1	MCF-7	Epithelium	Breast	0.2581584758730314	0.018827128392069965	0.8357476367864403	0.0587309162397775
1058	74120	OLFM2	MCF-7	None	None	0.08612477963336201	0.025060445115590104	0.5669302661652339	0.05875658157425956
1059	69884	T	None	Th1	None	0.03619837142261064	0.0441082731850761	0.4785974495197749	0.0590226185174495
1060	53873	MEF2B	HEK293A	None	None	0.30838839477724145	0.019996117855362143	0.6810145534971357	0.05919488583076027
1061	58303	BCL6	None	B Lymphocyte	Tonsil	0.045050766789048825	0.0363186254640144	0.46636388539736123	0.05954093630286106
1062	45563	CTCF	AG04450	Fibroblast	Fetal Lung	0.8149204557346104	0.016045212822313772	0.8798668061631438	0.059811335100663
1063	72354	HDAC1	Kasumi-1	Acute myeloid leukemia	None	0.04049248778278251	0.0468609078947995	0.21975322248406953	0.05982847035875449
1064	32852	HOTAIR	MDA-231	Epithelium	Mammary Gland	0.23964897568358623	0.020882315632782623	0.6618693078597624	0.059983493676667
1065	45835	CTCF	HL-60	Promyeloblast	Blood	0.8900848156083068	0.011445745539382766	0.9658915984851103	0.06001751804329125
1066	76967	MBOAT4	HeLa	Epithelium	Cervix	0.816023184934497	0.010326992023218422	0.9767380178601462	0.06039999977818461
1067	55555	SPI1	None	B Lymphocyte	None	0.062389654731047975	0.030002629171024822	0.5385701881239576	0.0608840464884946
1068	67601	KLF4	CFPAC-1	original PDAC cell line	Pancreatic ductal	0.04328965035699496	0.03934459910654338	0.5075353328825736	0.06150234197169502
1069	54333	BRD4	None	Adipocyte	None	0.08502328615279237	0.027227498774176344	0.5004345358412714	0.06157217070377102
1070	39970	CTCF	GM12868	B Lymphocyte	Blood	0.9551336674589097	0.006703821404080515	0.9873943946909248	0.0620708964716718
1071	67716	FOXA1	LNCaP	Epithelium	Prostate	0.10499398727019527	0.028574571851038774	0.2303781625638876	0.06217790248619326
1072	48621	BATF	OCI-Ly3	B Lymphocyte	Bone Marrow	0.049734739172855105	0.10038184176389064	0.05496899290060659	0.06224190655030898
1073	46112	ATF2	GM12878	B Lymphocyte	Blood	0.08816891917657838	0.003139571833113748	0.996454427395206	0.06231676166967576
1074	62715	TFAP4	HepG2	Epithelium	Liver	0.023093584946208705	0.16215784806353312	0.6431490506311599	0.0625618445347581
1075	33198	MED1	U87	None	Brain	0.028147046346527798	0.07973453670742742	0.5578920165953536	0.06281788140966216
1076	52965	EHMT2	MCF-7	Epithelium	Breast	0.08322041994890111	0.027166287089643797	0.629962646675335	0.06285997008757366
1077	76928	CD74	None	B Lymphocyte	None	0.09170773463964799	0.04149025360684004	0.07868074046879248	0.06297355746221345
1078	64472	NR3C1	A549	Epithelium	Lung	0.09323172251174827	0.03124095318969941	0.1990051014232851	0.0634195040202985
1079	73516	BRD4	SUM159PT	mammary carcinoma cell line	Breast	0.023356908666171853	0.2353137175730639	0.45652441812683353	0.06350156182768785
1080	47328	FOXA1	DU145	Epithelium	Prostate	0.29973650433482457	0.021655915541057693	0.6653162573694774	0.0635262841880378
1081	59381	DUX4	None	Myoblast	None	0.032030441590658223	0.05228144191905223	0.7810927254323745	0.06399465770277074
1082	45504	CTCF	NHLF	Fibroblast	Lung	0.8418521002221626	0.018426843447644777	0.6997894055873866	0.06414456813860125
1083	46050	CTCF	WI-38	Fibroblast	Lung	0.8588071587501476	0.004974432174402776	0.9932634707663759	0.06435765883108557
1084	49697	DEK	U937	None	Pleura	0.08259693819420266	0.03448104398417004	0.18002046076609762	0.06477706014191836
1085	33101	ESR1	MCF-7	Epithelium	Breast	0.6222481536189575	0.016989175797027176	0.9178093814051898	0.06482027659999023
1086	49612	ESR1	MCF-7	Epithelium	Breast	0.6222481536189575	0.016989175797027176	0.9178093814051898	0.06482027659999023
1087	35298	ERG	SKNO-1	Myeloblast	Bone Marrow	0.04307752041376096	0.053545658556872364	0.2269286495551191	0.06542744304597314
1088	75288	ZBTB48	HeLa	None	None	0.7762144797524781	0.0117252259018046	0.9725841913017367	0.06549655285728828
1089	45719	CTCF	None	Epithelium	Esophagus	0.7125449141417999	0.01845666686550226	0.862676956757189	0.06597569805463843
1090	5451	VDR	LS180	Epithelium	Colon	0.5282913712176782	0.02068963833932838	0.7734507255242591	0.06666236598296088
1091	38590	E2F7	IMR90	Fibroblast	Lung	0.11108823583790745	0.023773820173683936	0.8536927500986145	0.06676690302076449
1092	70541	VDR	THP-1	Macrophage	None	0.04475233249657931	0.06413579280591973	0.140673043476312	0.06684557485134462
1093	77449	NFKB2	L1236	Hodgkin Lymphoma Cell	None	0.08402892446134541	0.030539517990574798	0.51351177460887	0.06696975503368979
1094	71679	CTCF	MCF-7	None	Breast	0.8378962427394723	0.01652134913386329	0.9121833305573597	0.0675388767718264
1095	1339	RELA	HeLa	Epithelium	Cervix	0.25186852165992973	0.021046796232921893	0.865188610012195	0.0677949088520719
1096	44580	AR	VCaP	Epithelium	Prostate	0.23862522043206497	0.011402203055236655	0.9789641732407858	0.06780896054448826
1097	52629	FOXA1	MCF-7	Epithelium	Breast	0.39403141343547643	0.022736366681486164	0.6420188165496994	0.06792921043561695
1098	4719	TP63	None	Keratinocyte	Skin	0.30120885180454493	0.01647854670600713	0.9489911685288044	0.06797837172440713
1099	42461	STAG1	GM19238	Lymphoblastoid	Blood	0.1735170570796093	0.02016608511543523	0.9136250949199429	0.06805142711454709
1100	46126	EGR1	GM12878	B Lymphocyte	Blood	0.02359039256656227	0.25149428093398507	0.6958234058444497	0.06836601295782152
1101	75366	CDX2	LS174T	Goblet Cell	None	0.05203653582464155	0.039307864502318816	0.6125609907876033	0.06837795389949214
1102	42712	E2F3	LoVo	None	Colon	0.09632493910208112	0.03007465388030815	0.5116748339496876	0.0685284483745286
1103	41737	NR3C1	HEK293	Epithelium	Embryonic Kidney	0.047622925646462276	0.043747938980977535	0.5611167597762443	0.06876696566900092
1104	46049	CTCF	WI-38	Fibroblast	Lung	0.7279579813081858	0.011805781637288324	0.9744500026783288	0.06887309353345744
1105	51450	FOXA1	HUES64	Embryonic Stem Cell	Embryo	0.34183298546196417	0.015838790632310792	0.9548245567764793	0.0689915269910848
1106	67317	SOX2	None	Neuronal Progenitor cell	None	0.09872978757488549	0.015624477680651531	0.9680098916963922	0.06930911433065601
1107	34997	FOXM1	MDA-MB-231	Epithelium	Breast	0.02119510216350099	0.2596342073234383	0.8754172156557318	0.06953505094645507
1108	67500	GATA3	MDA-MB-231	Epithelium	Mammary Gland	0.04200758551910755	0.05124065102112067	0.5737447256015569	0.06982591884828698
1109	46028	CTCF	RPTEC	Epithelium	Kidney	0.8515336602719519	0.0147870234861829	0.9480903097003786	0.069869794377307
1110	45714	TCF7L2	HCT-116	None	Colon	0.04399331745244199	0.04333193359389754	0.763280048524642	0.07009430136498823
1111	53417	RUNX1	Kasumi-1	Myeloblast	Blood	0.02881862043325957	0.08954191114806587	0.7663623448548411	0.07027377054982814
1112	64017	CEBPB	A549	Epithelium	Lung	0.1327334867342439	0.02911624708727245	0.4351896046037099	0.07028087652429937
1113	41808	JARID2	None	iPSC	None	0.4367108825869119	0.025078606863558096	0.3605271840506894	0.07043167946798107
1114	62554	ZNF600	HEK293	Epithelium	Embryonic Kidney	0.3162931629162993	0.02489322658943854	0.5287791484529651	0.07050791050968902
1115	63917	FOSL2	A549	Epithelium	Lung	0.07319439358729807	0.03680525653138604	0.38132643045560705	0.07075669800145129
1116	56255	AR	LNCaP	Epithelium	Prostate	0.3517795727317662	0.020456883312122594	0.8905341270468186	0.07088131659115726
1117	46079	NR3C1	A549	Epithelium	Lung	0.042366652568682286	0.05201403094976214	0.6033996698424695	0.07114963380929623
1118	45558	CTCF	A549	Epithelium	Lung	0.7950382501034874	0.021940277783276674	0.5111466626103344	0.07156578256323765
1119	6566	FOXA1	MCF-7	Epithelium	Breast	0.03932780390282966	0.08792033541529737	0.18508186015181588	0.07164951812021164
1120	68571	POU3F2	None	Neural Progenitor Cell	None	0.05130729642116727	0.09972132303299813	0.08401801606623255	0.0725305639996563
1121	46163	YY1	GM12892	Lymphoblastoid	Blood	0.06487366060447686	0.03698572470985399	0.6495615761907643	0.07274243067163544
1122	45294	EZH2	HepG2	Epithelium	Liver	0.05210428248130201	0.04574995831639744	0.5326182367838693	0.07294444923589155
1123	56107	AR	None	None	Prostate	0.2207903419619991	0.020578160746432	0.918419638330775	0.07309659222302067
1124	41283	CTCF	IMR90	Fibroblast	Lung	0.8996062604367958	0.016451351798154795	0.9102588437669152	0.0732036482320027
1125	52612	ESR1	MCF-7	Epithelium	Breast	0.29805824513170065	0.006311287844469113	0.9917425845313129	0.07426306048433867
1126	74393	IL1B	MCF-7	None	Breast	0.035500732001959766	0.08616202653135341	0.5175754564895682	0.07510678434496004
1127	68874	ESR1	MCF-7	Embryonic Stem Cell	Breast	0.10163231705959386	0.03256559914061902	0.5970800454456431	0.0752645655453707
1128	68823	SPI1	K562	Leukemia Cell	None	0.036776315973149676	0.08832486737512435	0.4006625902543966	0.07526486740266042
1129	58363	CTCF	PANC-1	None	Pancreas	0.8788882422154605	0.0119530502932278	0.9729009503012221	0.07556115856172302
1130	63110	NR3C1	A549	Epithelium	Lung	0.04540504082509442	0.0503456796340384	0.7260165966695944	0.07571791279130641
1131	64139	HHEX	HepG2	Epithelium	Liver	0.25786662736381544	0.021969876280759314	0.9000671274409459	0.0759281007208269
1132	46001	MYC	MCF-10A	Epithelium	Breast	0.03267227200751278	0.11555447319391732	0.5167191120468684	0.07621989132205875
1133	68092	AR	C4-2	None	Prostate	0.007998801608783366	0.01929629011032344	0.9927638566143789	0.07626486583819297
1134	54138	CEBPB	None	Mesenchymal Stem Cell	None	0.738967656580178	0.021560576450259245	0.8187286027562282	0.07647265518369417
1135	63918	FOSL2	A549	Epithelium	Lung	0.06982663861033611	0.040711286230649034	0.5135334911671174	0.07663712256508737
1136	5925	JUND	PC-3	Epithelium	Prostate	0.07216513431063751	0.040986123812852986	0.4551019289375213	0.07674812414258575
1137	54155	FOXP1	OCI-Ly10	B Lymphocyte	Bone Marrow	0.06608108992120124	0.04323425907054758	0.4692581792840095	0.07698343174520328
1138	8493	RUNX1	Kasumi-1	Myeloblast	Blood	0.05434944939479043	0.04699078596162204	0.6193983417214877	0.07717253854589701
1139	41821	EZH2	None	iPSC	None	0.17265778703314044	0.031052968574691156	0.4285814727104125	0.07732699240693547
1140	67424	SIX2	None	Cortex	Embryonic Kidney	0.03380244939023986	0.11400471200199247	0.4853558020120779	0.07736574130533302
1141	69248	SIX2	None	Cortex	Kidney	0.03380244939023986	0.11400471200199247	0.4853558020120779	0.07736574130533302
1142	35091	NCOR1	OCI-Ly1	B cell lymphoma	Bone Marrow	0.07209229659819429	0.03915046720444266	0.6020728248409088	0.07737948285556473
1143	63462	IKZF1	K562	Erythroblast	Bone Marrow	0.057340997996261356	0.24136972504383958	0.05681940025471793	0.07742593848732865
1144	71035	TP63	MCFDCIS	None	Breast	0.05578700599666537	0.05105338667277733	0.4374805153431951	0.07780766477184509
1145	64130	ILK	K562	Erythroblast	Bone Marrow	0.04525167525557856	0.0945373559638012	0.1666634132076541	0.07806476862672262
1146	75293	POLR3G	NT2-D1	Stem cell	None	0.20409840702417043	0.20409840702417043	0.03409133741361793	0.07809934458054596
1147	68019	KDM2B	Reh	Leukemia Cell	None	0.20560411221806096	0.20560411221806096	0.03409133741361793	0.07826417727701157
1148	72796	LMNA	None	Fibroblast	None	0.20560411221806096	0.20560411221806096	0.03409133741361793	0.07826417727701157
1149	52501	JUND	None	None	Coronary artery smooth muscle	0.09977538659439766	0.030495597003926248	0.8181957258099182	0.07838783495741947
1150	67712	FOXA1	LNCaP	Epithelium	Prostate	0.1468915866165474	0.03165614199596223	0.5317257158478246	0.07839964834746616
1151	70542	VDR	THP-1	Macrophage	None	0.06648930843798811	0.12149623834801315	0.06673108989579161	0.07855156920221756
1152	64076	ATF3	K562	Erythroblast	Bone Marrow	0.1639904953509475	0.028011926585432077	0.7830163735571783	0.07881279850974582
1153	50172	HIRA	IMR90	Fibroblast	Lung	0.44995023109647053	0.026509855077738974	0.5877243904812665	0.07889320288476065
1154	64154	NR3C1	A549	Epithelium	Lung	0.055831098182637554	0.057518130610763045	0.30260426957631725	0.07905100394973241
1155	35287	BRDU	HeLa-S3	Epithelium	Cervix	0.03426563149927254	0.07537167684356609	0.8242273508233946	0.0794115617032396
1156	43858	AR	VCaP	Epithelium	Prostate	0.46643610002071634	0.018802931120290772	0.9403980935264443	0.07965619929445722
1157	45218	CTCF	GM12878	B Lymphocyte	Blood	0.8545232546639	0.017118750241705907	0.9355037592103068	0.08005957555360799
1158	43544	EZH2	HEK293T	Epithelium	Embryonic Kidney	0.04809314729785517	0.05524974947455876	0.6714225490427411	0.08006689487536434
1159	42566	STAG1	GM2630	Lymphoblastoid	Blood	0.4331675710337355	0.024884330783295473	0.7939294309268319	0.08018550562722276
1160	35228	HSF1	M0-91	Leukemia Cell	None	0.03230804146250942	0.14515593524724796	0.563271290097973	0.0801871167443528
1161	42519	STAG1	GM2255	Lymphoblastoid	Blood	0.29167828240558447	0.0265561562579925	0.7674428541415905	0.0804922318360437
1162	58139	RUNX1	U937	None	Pleura	0.041450811575785555	0.07169190283110854	0.6188310249279871	0.08049854326659256
1163	50058	AR	None	Epithelium	Prostate	0.37064783965829623	0.024798860349519596	0.8278102636645622	0.08072080113076169
1164	56103	NR3C1	MDA-MB-231	Epithelium	Breast	0.05700517602601436	0.06624252774006505	0.2091935447034426	0.08085247380427757
1165	36251	TAL1	None	Haematopoietic Progenitor Cell	Blood	0.0494343944250609	0.11318394805240717	0.1237895513244851	0.08108943670188756
1166	42854	MAFK	LoVo	None	Colon	0.23840708301649666	0.02932512977013124	0.6259881294014796	0.08135196004790762
1167	73506	BRD4	SUM159PT	mammary carcinoma cell line	Breast	0.029684594043773146	0.35605395988000904	0.43172047677650516	0.081938812007607
1168	46134	FOXM1	GM12878	B Lymphocyte	Blood	0.13529324164700102	0.0183817951103561	0.9611921155337961	0.08228739226043663
1169	45396	SIRT6	K562	Erythroblast	Bone Marrow	0.03255381214053969	0.10560052441927215	0.80130154623796	0.08289290023778367
1170	8801	SIRT6	K562	Erythroblast	Bone Marrow	0.03255381214053969	0.10560052441927215	0.80130154623796	0.08289290023778367
1171	42150	CTCF	HCT-116	None	Colon	0.884737519062281	0.011983940403499477	0.975078191724926	0.08357142027423015
1172	62569	CTCF	None	None	Spleen	0.4733138392857729	0.026227818926798367	0.7620670499582807	0.08392086153156642
1173	55293	WWTR1	MDA-MB-231	Epithelium	Breast	0.09733212899951366	0.04132325186640519	0.41650602359841954	0.08405208325978053
1174	55292	YAP1	MDA-MB-231	Epithelium	Breast	0.06967889425441219	0.058736349578859266	0.22652023072746458	0.08466056183330062
1175	71107	AR	VCaP	Epithelium	Prostate	0.15794428710264918	0.023639890209629515	0.9270322835234894	0.08473834848565331
1176	64223	FOSL2	A549	Epithelium	Lung	0.06849159827295727	0.04525547270385523	0.6846614498356777	0.08544448887161066
1177	33100	ESR1	MCF-7	Epithelium	Breast	0.5520827269014839	0.024126181687099766	0.8611302668678497	0.0858039440943073
1178	54621	ESR1	MCF-7	Epithelium	Breast	0.5520827269014839	0.024126181687099766	0.8611302668678497	0.0858039440943073
1179	5452	RXRA	LS180	Epithelium	Colon	0.6092916963255892	0.009056854408643728	0.9867051468484929	0.08586415089429572
1180	63197	NR3C1	A549	Epithelium	Lung	0.15082301780467755	0.15516087868510742	0.04513526958084504	0.08593061787355755
1181	77171	ZNF157	293T	None	None	0.05698230867908606	0.11092324958848054	0.11897862130463277	0.08602948706005992
1182	46148	SRF	GM12878	B Lymphocyte	Blood	0.08747856055536585	0.03558667894099341	0.8248164703298645	0.08606117933927959
1183	45777	RCOR1	HeLa-S3	Epithelium	Cervix	0.07565700641113175	0.04340582797194731	0.6958620039148051	0.0869443518661876
1184	46272	SPI1	K562	Erythroblast	Bone Marrow	0.051619644009939805	0.07554779784009726	0.36573997331042196	0.08705065587331601
1185	68118	KDM1A	Kasumi-1	Myeloblast	Blood	0.3855147451723411	0.019447780233579064	0.9477784188661112	0.08714738850740672
1186	58030	RUNX1	Kasumi-1	Myeloblast	Blood	0.04267131455075258	0.07601606814656393	0.7381543473143432	0.08783802803310431
1187	5373	RUNX2	C4-2B	Epithelium	Prostate	0.0838788789475659	0.04229703128614283	0.6791949331022703	0.08813303271220779
1188	64957	ATF2	GM12878	B Lymphocyte	Blood	0.14489162471311628	0.03209613400587346	0.8027569439613303	0.08838564580770836
1189	45567	CTCF	AG09319	Fibroblast	Gingiva	0.9365630710216449	0.019386452841620157	0.7387422979519855	0.08845678646885974
1190	63443	NR3C1	A549	Epithelium	Lung	0.13435085126273066	0.043935262242245546	0.23775431146471004	0.08853894237836946
1191	69799	NR1H3	HT29	colorectal adenocarcinoma	None	0.10322577218587825	0.03679591054331462	0.7714021201805461	0.08904845241667825
1192	33506	ESR1	None	Epithelium	Mammary Gland	0.03772149490620363	0.2131307520066012	0.28985660937045676	0.08907971306603146
1193	58188	BANF1	None	Keratinocyte	None	0.11718909041438924	0.03989329310709851	0.5323722856218899	0.08916963299715186
1194	77450	NFKB2	L1236	Hodgkin Lymphoma Cell	None	0.111860984677435	0.04271087712967146	0.4105015901784604	0.0891968284566198
1195	64788	FOSL2	A549	Epithelium	Lung	0.0727570011703273	0.05133819523332059	0.5068073991439205	0.08920207490579107
1196	56109	AR	None	None	Prostate	0.42051508526813064	0.014550902418008275	0.9728426020555743	0.08920691378651802
1197	63916	H3F3A	MM.1S	B Lymphoblast	Blood	0.2688458967400845	0.03253848446423713	0.5805651375644805	0.08957389223105056
1198	55640	AFF4	HCT-116	None	Colon	0.9033906691816398	0.017651577356687317	0.9313786070956007	0.09059167904635501
1199	46346	FOSL2	SK-N-SH	Neuroblastoma cell	Brain	0.04546917740865576	0.05594791359731644	0.8729875266169654	0.09095274168479506
1200	55571	BACH2	None	B Lymphocyte	None	0.060444973092694455	0.06823005018339455	0.38206063273916613	0.09118249128331546
1201	63605	CEBPB	A549	Epithelium	Lung	0.561691844488893	0.028698400706476758	0.6969131776692057	0.09144847975120729
1202	52541	AR	R1-AD1	Epithelium	Prostate	0.4244009828453622	0.01650190763504884	0.9661921887921339	0.09161202695304926
1203	2750	CREBBP	T98G	None	Brain	0.12139280150121867	0.050270251896946255	0.20312919905736526	0.09172237606912292
1204	74279	TERF2	HeLa	None	None	0.3098440567006022	0.31146673729190893	0.036186676117577046	0.091805774369483
