"","TF_Name","MORA","HOMER","AME","PSCAN","BART2","LISA2","Num_Yes","Conf_lvl_ranks"
"622","ZNF566",0,0,1,0,0,0,1,6
"623","ZNF567",0,0,1,0,0,0,1,6
"624","ZNF570",0,0,1,0,0,0,1,6
"625","ZNF571",0,0,1,0,0,0,1,6
"626","ZNF573",1,0,0,0,0,0,1,6
"627","ZNF574",1,0,0,0,0,0,1,6
"628","ZNF580",0,0,1,0,0,0,1,6
"629","ZNF585A",0,0,1,0,0,0,1,6
"630","ZNF586",0,0,1,0,0,0,1,6
"631","ZNF587",1,0,0,0,0,0,1,6
"632","ZNF594",0,0,1,0,0,0,1,6
"633","ZNF596",0,0,1,0,0,0,1,6
"634","ZNF611",0,0,1,0,0,0,1,6
"635","ZNF613",0,0,1,0,0,0,1,6
"636","ZNF614",0,0,1,0,0,0,1,6
"637","ZNF616",0,0,1,0,0,0,1,6
"638","ZNF619",0,0,1,0,0,0,1,6
"639","ZNF626",1,0,0,0,0,0,1,6
"640","ZNF649",0,0,1,0,0,0,1,6
"641","ZNF662",0,0,1,0,0,0,1,6
"642","ZNF667",1,0,0,0,0,0,1,6
"643","ZNF669",1,0,0,0,0,0,1,6
"644","ZNF674",0,0,0,0,1,0,1,6
"645","ZNF677",0,0,1,0,0,0,1,6
"646","ZNF680",1,0,0,0,0,0,1,6
"647","ZNF681",0,0,1,0,0,0,1,6
"648","ZNF682",0,0,1,0,0,0,1,6
"649","ZNF684",1,0,0,0,0,0,1,6
"650","ZNF695",0,0,1,0,0,0,1,6
"651","ZNF704",1,0,0,0,0,0,1,6
"652","ZNF707",1,0,0,0,0,0,1,6
"653","ZNF711",0,1,0,0,0,0,1,6
"654","ZNF713",0,0,1,0,0,0,1,6
"655","ZNF714",0,0,0,0,0,1,1,6
"656","ZNF716",0,0,1,0,0,0,1,6
"657","ZNF74",0,0,1,0,0,0,1,6
"658","ZNF740",0,0,0,1,0,0,1,6
"659","ZNF75A",1,0,0,0,0,0,1,6
"660","ZNF75D",1,0,0,0,0,0,1,6
"661","ZNF765",0,0,1,0,0,0,1,6
"662","ZNF766",0,0,0,0,0,1,1,6
"663","ZNF774",0,0,1,0,0,0,1,6
"664","ZNF776",0,0,1,0,0,0,1,6
"665","ZNF777",0,0,0,0,0,1,1,6
"666","ZNF780A",0,0,1,0,0,0,1,6
"667","ZNF785",0,0,1,0,0,0,1,6
"668","ZNF786",0,0,1,0,0,0,1,6
"669","ZNF787",1,0,0,0,0,0,1,6
"670","ZNF789",0,0,1,0,0,0,1,6
"671","ZNF79",0,0,1,0,0,0,1,6
"672","ZNF793",1,0,0,0,0,0,1,6
"673","ZNF8",0,0,1,0,0,0,1,6
"674","ZNF805",0,0,1,0,0,0,1,6
"675","ZNF823",0,0,1,0,0,0,1,6
"676","ZNF84",0,0,1,0,0,0,1,6
"677","ZNF846",0,0,1,0,0,0,1,6
"678","ZNF860",0,0,1,0,0,0,1,6
"679","ZNF879",0,0,1,0,0,0,1,6
"680","ZNF880",0,0,1,0,0,0,1,6
"681","ZNF891",0,0,1,0,0,0,1,6
"682","ZNF90",0,0,1,0,0,0,1,6
"683","ZNF98",0,0,1,0,0,0,1,6
"684","ZSCAN1",0,0,1,0,0,0,1,6
"685","ZSCAN16",0,0,1,0,0,0,1,6
"686","ZSCAN29",0,0,0,0,0,1,1,6
"687","ZSCAN30",0,0,1,0,0,0,1,6
"688","ZSCAN5",1,0,0,0,0,0,1,6
